Wertstellung;Buchungstext;Auftraggeber / Begünstigter;Verwendungszweck;Kontonummer;BLZ;Betrag (EUR);Gläubiger-ID;Mandatsreferenz
23.01.20;Gutschrift;Stadtwerke Lemans GmbH;VK 20068667 Sonstige Gutschrift 33175-Muster-Str. 2                  ABWA+StW Lemans GmbH;DE0044555555555555555;WELADE3L;2030,43;;
29.01.20;Lastschrift;Knappschaft-Bahn-See;8255547129 OB-17915171 EUR 171,00 BEITRAG 0120 - 0120                       ABWA+Deutsche Rentenversicherung Knappschaft-Bahn-See;DE0016555555555555555;WELADEDDXXX;-171;DE81KBS00000034886    ;5,05E+17
29.01.20;Überweisung;WischUndDreck;Re 5272-20, Muster-Str.2, Treppenhausreinigung                       DATUM 29.01.2020, 13.32 UHR1.TAN 635482;DE0019555555555555555;GENODEM1EWB;-559,3;;
03.02.20;Lastschrift;Auf und Ab Zug Service;ReNr 39896 Notruf 01/2020 Musterstraße X;DE0002555555555555555;SPBIDE3BXXX;-142,8;DE14ZZZ00001327938    ;Eval-320
03.02.20;Lastschrift;BeSte Stadtwerke GmbH;Abschlag 2019 KD 157396 WEG Muster-Str.2 Muster-Str. 2 33175 Bad Quelllippe;DE0006555555555555555;GENODEM1STM;-461;DE77ZZZ00000148157    ;CO0960027455845          
03.02.20;Lastschrift;BeSte Stadtwerke GmbH;Restbetrag Jahresverbrauchsabrechnung 2018 KD 157396 WEG Muster-Str.2 Muster-Str. 2 33175 Bad Quelllippe;DE0006555555555555555;GENODEM1STM;-263,19;DE77ZZZ00000148157    ;CO0960027455845          
03.02.20;Lastschrifteinzug;Wohnung_01;DJ55E2B29609ADEF HG 02/2020 LAK2-006 Wohnung_01                 DATUM 29.01.2020, 13.38 UHR1.TAN 983741;DE0001555555555555555;WELADE3LXXX;262,87;;
03.02.20;Gutschrift;Wohnung_02;LAK2-046 Hausgeld;DE0003555555555555555;BYLADEM1001;242,61;;
03.02.20;Lastschrifteinzug;Wohnung_03;DIH5E2B2960608A0 HG 02/2020 LAK2-002 Wohnung_03                          DATUM 29.01.2020, 13.38 UHR1.TAN 983741;DE0004555555555555555;DGPBDE3MXXX;242,44;;
03.02.20;Gutschrift;Wohnung_05;Hausverwaltung;DE0006555555555555555;GENODEM1SLN;200;;
03.02.20;Lastschrifteinzug;Wohnung_37;D845E2B296368792 HG 02/2020 LAK2-037                       DATUM 29.01.2020, 13.38 UHR1.TAN 983741;DE0008555555555555555;GENODED1ASN;255,61;;
03.02.20;Lastschrifteinzug;Wohnung_24;DFN5E2B2962E6611 HG 02/2020 LAK2-024 Wohnung_24                      DATUM 29.01.2020, 13.38 UHR1.TAN 983741;DE0022555555555555555;WELADE3LXXX;310,87;;
03.02.20;Lastschrifteinzug;Wohnung_19;DXR5E2B296256E27 HG 02/2020 LAK2-019 Kzritzwik, Eduard                        DATUM 29.01.2020, 13.38 UHR1.TAN 983741;DE0031555555555555555;GENODEM1SLN;226,87;;
03.02.20;Lastschrifteinzug;Wohnung_19;DBH5E2B2960DDFC7 HG 02/2020 LAK2-007 Kzritzwik, Vitali                        DATUM 29.01.2020, 13.38 UHR1.TAN 983741;DE0031555555555555555;GENODEM1SLN;225,87;;
04.02.20;Lastschrift;GC re LCG Energy GmbH;;DE0012555555555555555;BARCDEFFXXX;-1438,67;GB07ZZZSDDBARC0000007495896081                   ;SDBS72               
07.02.20;Lastschrift;E.ON Energie Deutschland GmbH;VK 232056499604 Muster-Str 2 Bad QuelllippeSCHLUSSRECHNG 24.01.20 211121630474WIR SAGEN DANKE;DE0039555555555555555;DEUTDEDDXXX;-3673,91;DE41EON00000129793    ;52HW37047645        
11.02.20;Lastschrift;Telekom Deutschland GmbH;Festnetz Vertragskonto 5612412723 RG 7425135203/31.01.2020;DE0038555555555555555;PBNKDEFFXXX;-19,94;DE93ZZZ00000078611    ;DE001873774954            
12.02.20;Lastschrift;Stadtwerke Lemans GmbH;VK 20068667 Abschlag 33175-Muster-Str. 2  ABWA+StW Lemans GmbH;DE0044555555555555555;WELADE3L;-567;DE76ZZZ00001788445    ;2680-00667/187          
14.02.20;Überweisung;Kurz und Schluss-Elektrik;Re 20-05560, Muster-Str.2                 DATUM 13.02.2020, 18.33 UHR1.TAN 406228;DE0014555555555555555;DGPBDE3MXXX;-269,43;;
19.02.20;Gutschrift;Wohnung_04;WEG Muster-Stra?e 2 Drewes 19-2747172-0-6;DE0005555555555555555;WELADED1HXB;300;;
24.02.20;Lastschrift;ista Deutschland GmbH;ReNr 43473222/3.12.2019Muster-Strasse 2 3;DE0035555555555555555;DRESDEFF400;-1781,12;DE84ZZZ00000119513    ;DE017618009-RTW   
26.02.20;Lastschrift;Knappschaft-Bahn-See;3338819281 OB-976239171 EUR 171,00 BEITRAG 0220 - 0220                       ABWA+Deutsche Rentenversicherung Knappschaft-Bahn-See;DE0016555555555555555;WELADEDDXXX;-171;DE81KBS00000034886    ;5,05E+17
28.02.20;Gutschrift;Wohnung_02;LAK2-046 Hausgeld Nachzahlung;DE0003555555555555555;BYLADEM1001;105;;
02.03.20;Lastschrift;Stadt Lemans Abfallentsorg.-u.Stadtreinigungsbetr.P;R2012678 59,50        ABWA+ASP;DE0037555555555555555;WELADE3LXXX;-59,5;DE58ZZZ00000187687    ;CO0960027455845          
02.03.20;Lastschrift;BeSte Stadtwerke GmbH;Abschlag 2020 KD 157396 WEG Muster-Str.2 Muster-Str. 2 33175 Bad Quelllippe;DE0006555555555555555;GENODEM1STM;-461;DE77ZZZ00000148157    ;LS-000003018          
02.03.20;Gutschrift;Wohnung_02;LAK2-046 Hausgeld;DE0003555555555555555;BYLADEM1001;242,61;;
02.03.20;Gutschrift;Wohnung_05;Hausverwaltung;DE0006555555555555555;GENODEM1SLN;200;;
02.03.20;Überweisung;WischUndDreck;Re 5323-20, Muster-Str.2, Treppenhausreinigung                       DATUM 02.03.2020, 17.27 UHR1.TAN 037437;DE0019555555555555555;GENODEM1EWB;-559,3;;
03.03.20;Lastschrift;GC re LCG Energy GmbH;;DE0012555555555555555;BARCDEFFXXX;-1438,67;GB07ZZZSDDBARC0000007495896081                   ;SDBS72               
03.03.20;Gutschrift;Waclik Rolf;Kundennummer 140032020;DE0041555555555555555;PBNKDEFFXXX;250;;
10.03.20;Lastschrift;Telekom Deutschland GmbH;Festnetz Vertragskonto 5612412723 RG 7441888197/28.02.2020;DE0038555555555555555;PBNKDEFFXXX;-19,94;DE93ZZZ00000078611    ;DE001873774954            
12.03.20;Lastschrift;Stadtwerke Lemans GmbH;VK 20068667 Abschlag 33175-Muster-Str. 2  ABWA+StW Lemans GmbH;DE0044555555555555555;WELADE3L;-567;DE76ZZZ00001788445    ;2680-00667/187          
12.03.20;Gutschrift;Wohnung_05;WEG  LAKZ-035;DE0006555555555555555;GENODEM1SLN;13,86;;
13.03.20;Lastschrift;Stadt Bad Quelllippe;1005882-12-1000-1 ABGABEN Muster-Str. 2   ABWA+BAD Quelllippe;DE0030555555555555555;WELADE3LXXX;-9856,17;DE62BL100000093525    ;10634282-18-1074     
13.03.20;LuiKorrektur;Stadt Bad Quelllippe;042200 Abwasser;DE0030555555555555555;WELADE3LXXX;-8263,5;DE62BL100000093525    ;10634282-18-1074     
13.03.20;LuiKorrektur;Stadt Bad Quelllippe;042300 Niederschlagswasser;DE0030555555555555555;WELADE3LXXX;-317,64;DE62BL100000093525    ;10634282-18-1074     
13.03.20;LuiKorrektur;Stadt Bad Quelllippe;043200 Müllentsorgung;DE0030555555555555555;WELADE3LXXX;-1202,94;DE62BL100000093525    ;10634282-18-1074     
13.03.20;LuiKorrektur;Stadt Bad Quelllippe;043300 Straßenreinigung;DE0030555555555555555;WELADE3LXXX;-72,09;DE62BL100000093525    ;10634282-18-1074     
13.03.20;LuiKorrektur;Stadt Bad Quelllippe;Originalbuchung neutralisieren;DE0030555555555555555;WELADE3LXXX;9856,17;DE62BL100000093525    ;10634282-18-1074     
16.03.20;Lastschrift;ista Deutschland GmbH;ReNr 0933619276/27.2.2020Muster-Strasse 2 3ReNr 0933623938/28.2.2020Muster-Strasse 2 3;DE0035555555555555555;DRESDEFF400;-205,27;DE84ZZZ00000119513    ;DE017618009-RTW   
18.03.20;Überweisung;Vodafone NRW GmbH;Re 165427369          DATUM 18.03.2020, 17.04 UHR1.TAN 351882;DE0034555555555555555;PBNKDEFFXXX;-7242,24;;
30.03.20;Lastschrift;Knappschaft-Bahn-See;8006277440 OB-976239171 EUR 171,00 BEITRAG 0320 - 0320                       ABWA+Deutsche Rentenversicherung Knappschaft-Bahn-See;DE0016555555555555555;WELADEDDXXX;-171;DE81KBS00000034886    ;5,05E+17
31.03.20;Lastschrift;GC re LCG Energy GmbH;;DE0012555555555555555;BARCDEFFXXX;-1438,67;GB07ZZZSDDBARC0000007495896081                   ;SDBS72               
01.04.20;Lastschrift;BeSte Stadtwerke GmbH;Abschlag 2020 KD 157396 WEG Muster-Str.2 Muster-Str. 2 33175 Bad Quelllippe;DE0006555555555555555;GENODEM1STM;-461;DE77ZZZ00000148157    ;CO0960027455845          
01.04.20;Gutschrift;Wohnung_02;LAK2-046 Hausgeld;DE0003555555555555555;BYLADEM1001;242,61;;
01.04.20;Gutschrift;Wohnung_05;Hausverwaltung;DE0006555555555555555;GENODEM1SLN;220;;
01.04.20;Überweisung;WischUndDreck;Re 5415-20, Muster-Str.2, Treppenhausreinigung                       DATUM 01.04.2020, 17.16 UHR1.TAN 073436;DE0019555555555555555;GENODEM1EWB;-559,3;;
01.04.20;Überweisung;TÜV NORD Systems GmbH;Re 9554603351, Muster-Str. 2,Bad Quelllippe                         DATUM 01.04.2020, 17.22 UHR1.TAN 295527;DE0043555555555555555;COBADEFFXXX;-320,68;;
03.04.20;Lastschrifteinzug;Wohnung_01;DQ35E7A508E52882 HG 04/2020 LAK2-006 Wohnung_01                 DATUM 24.03.2020, 19.27 UHR1.TAN 500417;DE0001555555555555555;WELADE3LXXX;262,87;;
03.04.20;Lastschrifteinzug;Wohnung_03;DXC5E7A508E09C1C HG 04/2020 LAK2-002 Wohnung_03                          DATUM 24.03.2020, 19.27 UHR1.TAN 500417;DE0004555555555555555;DGPBDE3MXXX;242,44;;
03.04.20;Lastschrifteinzug;Wohnung_37;D3K5E7A50915EB86 HG 04/2020 LAK2-037                       DATUM 24.03.2020, 19.27 UHR1.TAN 500417;DE0008555555555555555;GENODED1ASN;255,61;;
03.04.20;Lastschrifteinzug;Wohnung_24;DEZ5E7A5090A3F7D HG 04/2020 LAK2-024 Wohnung_24                      DATUM 24.03.2020, 19.27 UHR1.TAN 500417;DE0022555555555555555;WELADE3LXXX;310,87;;
03.04.20;Lastschrifteinzug;Wohnung_19;DTU5E7A508FDE13D HG 04/2020 LAK2-019 Kzritzwik, Eduard                        DATUM 24.03.2020, 19.27 UHR1.TAN 500417;DE0031555555555555555;GENODEM1SLN;226,87;;
03.04.20;Lastschrifteinzug;Wohnung_19;DGP5E7A508E82961 HG 04/2020 LAK2-007 Kzritzwik, Vitali                        DATUM 24.03.2020, 19.27 UHR1.TAN 500417;DE0031555555555555555;GENODEM1SLN;225,87;;
06.04.20;Dauerauftrag;Landlordgate;Verwalterhonorar;DE0007555555555555555;NOLADE21MEL;-2750,7;;
08.04.20;Lastschrift;ista Deutschland GmbH;ReNr 66876201/25.3.2020Muster-Strasse 2 3;DE0035555555555555555;DRESDEFF400;-373,33;DE84ZZZ00000119513    ;DE001873774954            
08.04.20;Lastschrift;Telekom Deutschland GmbH;Festnetz Vertragskonto 5612412723 RG 7458620223/30.03.2020;DE0038555555555555555;PBNKDEFFXXX;-19,94;DE93ZZZ00000078611    ;DE017618009-RTW   
14.04.20;Überweisung;Kurz und Schluss-Elektrik;Re 20-05646, Muster-Str. 2, Bad Quelllippe                          DATUM 14.04.2020, 17.14 UHR1.TAN 325189;DE0014555555555555555;DGPBDE3MXXX;-1468,28;;
15.04.20;Lastschrift;Stadtwerke Lemans GmbH;VK 20068667 Abschlag 33175-Muster-Str. 2  ABWA+StW Lemans GmbH;DE0044555555555555555;WELADE3L;-567;DE76ZZZ00001788445    ;2680-00667/187          
15.04.20;Überweisung;SanitäreAnlagen-KlimaUndSchwimmbadtechnik Rööhrig;Re 201838-140, Muster-Str 2, Bad Quelllippe                         DATUM 14.04.2020, 18.05 UHR1.TAN 280702;DE0015555555555555555;DEUTDE3B472;-69,44;;
17.04.20;Überweisung;KAR Hausmeisterservice;RE - Malerarbeiten, Muster-Str 2          DATUM 17.04.2020, 16.01 UHR1.TAN 339602;DE0028555555555555555;SPBIDE3BXXX;-2921,45;;
21.04.20;Gutschrift;Wohnung_04;WEG Adolf Kolping-Stra?e 2 Drewes 192747172-0-6;DE0005555555555555555;WELADED1HXB;350;;
24.04.20;Überweisung;SanitäreAnlagen-KlimaUndSchwimmbadtechnik Rööhrig;Re 202013-220, Jahreswartung Muster-Str.2 DATUM 23.04.2020, 18.55 UHR1.TAN 743123;DE0015555555555555555;DEUTDE3B472;-521,2;;
27.04.20;Lastschrift;GC re LCG Energy GmbH;81199 5 2020 GAS;DE0012555555555555555;BARCDEFFXXX;-1438,67;GB07ZZZSDDBARC0000007495896081                   ;P8NSTCH               
28.04.20;Lastschrift;Knappschaft-Bahn-See;9754209604 OB-976239171 EUR 171,00 BEITRAG 0420 - 0420                       ABWA+Deutsche Rentenversicherung Knappschaft-Bahn-See;DE0016555555555555555;WELADEDDXXX;-171;DE81KBS00000034886    ;5,05E+17
04.05.20;Lastschrift;BeSte Stadtwerke GmbH;Abschlag 2020 KD 157396 WEG Muster-Str.2 Muster-Str. 2 33175 Bad Quelllippe;DE0006555555555555555;GENODEM1STM;-461;DE77ZZZ00000148157    ;CO0960027455845          
04.05.20;Gutschrift;Wohnung_02;LAK2-046 Hausgeld;DE0003555555555555555;BYLADEM1001;242,61;;
04.05.20;Gutschrift;Wohnung_05;Hausverwaltung;DE0006555555555555555;GENODEM1SLN;220;;
04.05.20;Überweisung;WischUndDreck;Re 5546-20, Muster-Str.2, Treppenhausreinigung                       DATUM 04.05.2020, 17.36 UHR1.TAN 561681;DE0019555555555555555;GENODEM1EWB;-559,3;;
07.05.20;Lastschrift;Auf und Ab Zug Service;ReNr 40247 Mängelbeseitigung ReNr 40269 Notruf 04/2020 ReNr 40414 Wartung -120,88 EUR aus ReNr39506 Zuviel abgebucht Musterstraße X;DE0002555555555555555;SPBIDE3BXXX;-775,39;DE14ZZZ00001327938    ;Eval-320
11.05.20;Lastschrift;Telekom Deutschland GmbH;Festnetz Vertragskonto 5612412723 RG 7475897102/29.04.2020;DE0038555555555555555;PBNKDEFFXXX;-19,94;DE93ZZZ00000078611    ;DE001873774954            
12.05.20;Lastschrift;Stadtwerke Lemans GmbH;VK 20068667 Abschlag 33175-Muster-Str. 2  ABWA+StW Lemans GmbH;DE0044555555555555555;WELADE3L;-567;DE76ZZZ00001788445    ;2680-00667/187          
13.05.20;Gutschrift;Wohnung_04;WEG Muster-Str.2 Drewes;DE0005555555555555555;WELADED1HXB;350;;
15.05.20;Lastschrift;Stadt Bad Quelllippe;1005882-12-1000-1 ABGABEN Muster-Str. 2   ABWA+BAD Quelllippe;DE0030555555555555555;WELADE3LXXX;-3245,37;DE62BL100000093525    ;10634282-18-1074     
15.05.20;LuiKorrektur;Stadt Bad Quelllippe;042200 Abwasser;DE0030555555555555555;WELADE3LXXX;-1652,7;DE62BL100000093525    ;10634282-18-1074     
15.05.20;LuiKorrektur;Stadt Bad Quelllippe;042300 Niederschlagswasser;DE0030555555555555555;WELADE3LXXX;-317,64;DE62BL100000093525    ;10634282-18-1074     
15.05.20;LuiKorrektur;Stadt Bad Quelllippe;043200 Müllentsorgung;DE0030555555555555555;WELADE3LXXX;-1202,94;DE62BL100000093525    ;10634282-18-1074     
15.05.20;LuiKorrektur;Stadt Bad Quelllippe;043300 Straßenreinigung;DE0030555555555555555;WELADE3LXXX;-72,09;DE62BL100000093525    ;10634282-18-1074     
15.05.20;LuiKorrektur;Stadt Bad Quelllippe;Originalbuchung neutralisieren;DE0030555555555555555;WELADE3LXXX;3245,37;DE62BL100000093525    ;10634282-18-1074     
15.05.20;Überweisung;Kurz und Schluss-Elektrik;Re 20-05666, Muster-Str. 2, Bad Quelllippe                          DATUM 14.05.2020, 18.50 UHR1.TAN 581861;DE0014555555555555555;DGPBDE3MXXX;-60,55;;
15.05.20;Überweisung;Sandra Hochtrocken;R 2020-2, Muster-Str.2, Fr. Drewes, W22   DATUM 15.05.2020, 13.39 UHR1.TAN 867419;DE0024555555555555555;BYLADEM1001;-151,5;;
27.05.20;Lastschrift;Knappschaft-Bahn-See;4172617741 OB-976239171 EUR 171,00 BEITRAG 0520 - 0520                       ABWA+Deutsche Rentenversicherung Knappschaft-Bahn-See;DE0016555555555555555;WELADEDDXXX;-171;DE81KBS00000034886    ;5,05E+17
27.05.20;Überweisung;WischUndDreck;Re 5591-20, Muster-Str.2, Treppenhausreinigung                       DATUM 27.05.2020, 16.45 UHR1.TAN 643327;DE0019555555555555555;GENODEM1EWB;-559,3;;
01.06.20;Gutschrift;Wohnung_02;LAK2-046 Hausgeld;DE0003555555555555555;BYLADEM1001;242,61;;
02.06.20;Lastschrift;Stadt Lemans Abfallentsorg.-u.Stadtreinigungsbetr.P;R2016645 59,50        ABWA+ASP;DE0037555555555555555;WELADE3LXXX;-59,5;DE58ZZZ00000187687    ;CO0960027455845          
02.06.20;Lastschrift;BeSte Stadtwerke GmbH;Abschlag 2020 KD 157396 WEG Muster-Str.2 Muster-Str. 2 33175 Bad Quelllippe;DE0006555555555555555;GENODEM1STM;-461;DE77ZZZ00000148157    ;LS-000003018          
02.06.20;Gutschrift;Wohnung_05;Hausverwaltung;DE0006555555555555555;GENODEM1SLN;220;;
03.06.20;Lastschrifteinzug;Wohnung_01;DSX5ECBE47C8F92F HG 06/2020 LAK2-006 Wohnung_01                 DATUM 25.05.2020, 17.43 UHR1.TAN 132800;DE0001555555555555555;WELADE3LXXX;262,87;;
03.06.20;Lastschrifteinzug;Wohnung_03;D2G5ECBE47C79D62 HG 06/2020 LAK2-002 Wohnung_03                          DATUM 25.05.2020, 17.43 UHR1.TAN 132800;DE0004555555555555555;DGPBDE3MXXX;242,44;;
03.06.20;Lastschrifteinzug;Wohnung_37;D7V5ECBE47DB5F0D HG 06/2020 LAK2-037                       DATUM 25.05.2020, 17.43 UHR1.TAN 132800;DE0008555555555555555;GENODED1ASN;255,61;;
03.06.20;Lastschrifteinzug;Wohnung_22;DR15ECBE47D519E4 HG 06/2020 LAK2-022 Wohnung_22                       DATUM 25.05.2020, 17.43 UHR1.TAN 132800;DE0010555555555555555;DGPBDE3MXXX;216,04;;
03.06.20;Lastschrifteinzug;Wohnung_24;DW05ECBE47D73984 HG 06/2020 LAK2-024 Wohnung_24                      DATUM 25.05.2020, 17.43 UHR1.TAN 132800;DE0022555555555555555;WELADE3LXXX;310,87;;
03.06.20;Lastschrifteinzug;Wohnung_19;DRX5ECBE47CA177C HG 06/2020 LAK2-007 Kzritzwik, Vitali                        DATUM 25.05.2020, 17.43 UHR1.TAN 132800;DE0031555555555555555;GENODEM1SLN;225,87;;
03.06.20;Lastschrifteinzug;Wohnung_19;DUF5ECBE47D278F4 HG 06/2020 LAK2-019 Kzritzwik, Eduard                        DATUM 25.05.2020, 17.43 UHR1.TAN 132800;DE0031555555555555555;GENODEM1SLN;226,87;;
04.06.20;Lastschrift;GC re LCG Energy GmbH;81199 6 2020 GAS;DE0012555555555555555;BARCDEFFXXX;-1438,67;GB07ZZZSDDBARC0000007495896081                   ;P8NSTCH               
10.06.20;Lastschrift;Telekom Deutschland GmbH;Festnetz Vertragskonto 5612412723 RG 7492704195/29.05.2020;DE0038555555555555555;PBNKDEFFXXX;-19,94;DE93ZZZ00000078611    ;DE001873774954            
11.06.20;Lastschrift;Stadtwerke Lemans GmbH;VK 20068667 Abschlag 33175-Muster-Str. 2  ABWA+StW Lemans GmbH;DE0044555555555555555;WELADE3L;-567;DE76ZZZ00001788445    ;2680-00667/187          
15.06.20;Lastschrift;Verwaltungsberufsgenossenschaft;9500132970 LE2020060117697 RG.NR. 0000020201400905;DE0020555555555555555;COBADEFFXXX;-122,72;DE87VBG00000356721    ;MB-950013297   
22.06.20;Lastschrift;GOTHAER ALLGEMEINE VERS. AG;06.411.523758 ABBUCHUNG AM 22.06.2020 HAUS/GRUNDBES.HAFTPFL.V. Muster-Str.2 H                   ABWA+Gothaer Allgemeine Versicherung AG;DE0013555555555555555;WELADEDDXXX;-412,05;DE02ZZZ00000070161    ;2000815817687
22.06.20;Lastschrift;GOTHAER ALLGEMEINE VERS. AG;06.411.333942 ABBUCHUNG AM 22.06.2020 WOHNGEBAEUDE-VERSICHERUNG Muster-Str. 2 VGV               ABWA+Gothaer Allgemeine Versicherung AG;DE0013555555555555555;WELADEDDXXX;-3064,94;DE02ZZZ00000070161    ;2064103549949
24.06.20;Überweisung;Odo Dübel;Re 20200434, Muster-Str.2, Bad QuelllippeDATUM 24.06.2020, 09.34 UHR1.TAN 205369;DE0021555555555555555;DGPBDE3MXXX;-1045,97;;
26.06.20;Lastschrift;Knappschaft-Bahn-See;3172585181 OB-976239171 EUR 171,00 BEITRAG 0620 - 0620                       ABWA+Deutsche Rentenversicherung Knappschaft-Bahn-See;DE0016555555555555555;WELADEDDXXX;-171;DE81KBS00000034886    ;5,05E+17
01.07.20;Lastschrift;BeSte Stadtwerke GmbH;Abschlag 2020 KD 157396 WEG Muster-Str.2 Muster-Str. 2 33175 Bad Quelllippe;DE0006555555555555555;GENODEM1STM;-461;DE77ZZZ00000148157    ;CO0960027455845          
01.07.20;Abschluss;;Abrechnung 30.06.2020      siehe AnlageAbrechnung 30.06.2020Information zur AbrechnungKontostand am 30.06.2020                                       10.853,01 +Abrechnungszeitraum vom 01.04.2020 bis 30.06.2020Abrechnung 30.06.2020                                                0,00+Sollzinss?tze am 30.06.202012,0000 v.H. f?r geduldete Konto?berziehungKontostand/Rechnungsabschluss am 30.06.2020                    10.853,01 +Rechnungsnummer: 20200630-BY111-00085610120;1062668411;1230000;0;;
01.07.20;Gutschrift;Wohnung_02;LAK2-046 Hausgeld;DE0003555555555555555;BYLADEM1001;242,61;;
01.07.20;Gutschrift;Wohnung_05;Hausverwaltung;DE0006555555555555555;GENODEM1SLN;220;;
01.07.20;Überweisung;WischUndDreck;Re 5678-20, Muster-Str.2, Treppenhausreinigung                       DATUM 30.06.2020, 18.55 UHR1.TAN 350247;DE0019555555555555555;GENODEM1EWB;-589,05;;
03.07.20;Lastschrift;GC re LCG Energy GmbH;81199 7 2020 GAS 81199;DE0012555555555555555;BARCDEFFXXX;-1438,67;GB07ZZZSDDBARC0000007495896081                   ;P8NSTCH               
03.07.20;Lastschrifteinzug;Wohnung_01;DF45EF5F25FE03D6 HG in 07/2020 LAK2-006 Wohnung_01              DATUM 26.06.2020, 15.45 UHR1.TAN 502875;DE0001555555555555555;WELADE3LXXX;262,87;;
03.07.20;Lastschrifteinzug;Wohnung_03;DHA5EF5F25FCF590 HG in 07/2020 LAK2-002 Wohnung_03                       DATUM 26.06.2020, 15.45 UHR1.TAN 502875;DE0004555555555555555;DGPBDE3MXXX;242,44;;
03.07.20;Dauerauftrag;Landlordgate;Verwalterhonorar;DE0007555555555555555;NOLADE21MEL;-893,78;;
03.07.20;Lastschrifteinzug;Wohnung_37;DIR5EF5F2617509A HG in 07/2020 LAK2-037                    DATUM 26.06.2020, 15.45 UHR1.TAN 502875;DE0008555555555555555;GENODED1ASN;255,61;;
03.07.20;Lastschrifteinzug;Wohnung_22;DYX5EF5F260E7249 HG in 07/2020 LAK2-022 Wohnung_22                    DATUM 26.06.2020, 15.45 UHR1.TAN 502875;DE0010555555555555555;DGPBDE3MXXX;216,04;;
